Installation ID,Installation Name,Installation Name (Clean),Company Name (MoE),Installation Address,First Verified Emissions Year,Last Verified Emissions Year,Main Activity Code,Main Activity Name
CZ-0050,EOP Distribuce - ZVU,ZVU,"EOP Distribuce, a.s.","Pražská 322, 501 01 Hradec Králové",2008,2020,20,Výroba elektřiny a tepla
CZ-0051,EOP Distribuce - Chrudim,Chrudim,"EOP Distribuce, a.s.","Dašická 1185, 537 01 Chrudim",2008,2020,20,Výroba elektřiny a tepla
CZ-0020,Wienerberger cihelna Jezernice,Cihelna Jezernice,"Wienerberger, s.r.o.","Jezernice, 751 31 Lipník nad Bečvou",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0131,SAINT-GOBAIN ADFORS CZ - závod Hodonice,Závod Hodonice,SAINT-GOBAIN ADFORS CZ s.r.o.,,2008,2025,31,Sklo
CZ-0263,"TTS energo s.r.o., kotelna K13",Kotelna K13,TTS energo s.r.o.,"Rafaelova 1115, 674 01 Třebíč",2008,2025,20,Výroba elektřiny a tepla
CZ-0338,BEFACOAL s.r.o. - kotelna Oslavany,Kotelna Oslavany,,,2008,2013,1,Výroba elektřiny a tepla
CZ-0290,"Cihelna Vysoké Mýto, s.r.o.",Cihelna Vysoké Mýto,,,2008,2019,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0413,Liapor s.r.o.,Liapor s.r.o.,Liapor s.r.o.,"Vintířov 176, 357 44 Vintířov",2008,2025,32,"Ostatní minerály (keramika, cihly, minerální vlna, sádra)"
CZ-0414,"TERMO Frýdlant n.O s.r.o., Uhelná kotelna v areálu",Uhelná kotelna v areálu,,,2008,2019,20,Výroba elektřiny a tepla
CZ-0404,"Letiště Praha, a. s. – Výtopna SEVER",Výtopna SEVER,"Letiště Praha, a.s.","K Letišti 6/1019, 160 08 Praha",2008,2025,20,Výroba elektřiny a tepla
CZ-0044,"Tepelné hospodářství Rychnov nad Kněžnou, s.r.o. ,",Tepelné hospodářství Rychnov nad Kněžnou,,,2008,2013,1,Výroba elektřiny a tepla
CZ-0428,Rýnovická energetická s.r.o.,Rýnovická energetická,Rýnovická energetická s.r.o.,"Belgická 400, 466 05 Jablonec nad Nisou ",2008,2025,1,Výroba elektřiny a tepla
CZ-0420,"FN BRNO Výtopna, pracoviště medicíny dospělého věk",Výtopna,Fakultní nemocnice Brno,"Jihlavská 20, Brno 625 00",2008,2025,20,Výroba elektřiny a tepla
CZ-0427,Carthamus - Energoblok Domoradice,Energoblok Domoradice,,,2008,2022,20,Výroba elektřiny a tepla
