country,code,pop,gdp,gdp_ppp,ghg,electricity
Panama,PAN,4314768.0,52938100000.0,109516787461.046,15905.84086190571,10.9669266666666
Papua New Guinea,PNG,8947027.0,23591523025.2864,36693716070.9884,16738.578714128154,4.257128
Paraguay,PRY,7132530.0,35304238230.1132,87983126651.7862,44547.0140924494,7.25873233333333
Peru,PER,32971846.0,202014363787.233,371290872024.461,93384.2565839351,55.5275366666666
Philippines,PHL,109581085.0,361489354350.0,871562106216.733,242198.5422254054,100.380989999999
Poland,POL,37950802.0,594164690894.936,1223463922991.61,425033.75233014737,173.008493751999
Portugal,PRT,10305564.0,231255587276.741,331644947677.358,66498.04756086801,55.1888897989999
Puerto Rico,PRI,3194034.0,103138300000.0,106817541091.731,6508.159214993061,20.5455053333333
Qatar,QAT,2881060.0,146373588866.511,245657068670.669,184839.25412371955,47.171096
Romania,ROU,19286123.0,248715551366.635,556069516459.793,117367.02027860592,61.0112543979999
Russian Federation,RUS,144104080.0,1483497784867.6,3875685903299.31,2315330.7481243275,1040.03548
Rwanda,RWA,12952209.0,10333991891.7032,27182935233.2365,6978.559599802946,0.876013333333333
Saint Kitts and Nevis,KNA,53192.0,927451851.851852,1237212000.07882,213.5538039571401,0.195933333333333
Saint Lucia,LCA,183629.0,1703364240.74074,2253130270.11152,443.75375819754004,0.383828666666666
Saint Vincent and the Grenadines,VCT,110947.0,809681481.481481,1343055745.92305,202.59405624816338,0.142
Samoa,WSM,198410.0,807027244.42138,1249136154.55899,595.0072238484379,0.136548666666666
Sao Tome and Principe,STP,219161.0,472914469.91933,887953769.32211,253.3894456188325,0.09
Saudi Arabia,SAU,34813867.0,700117873249.269,1543235499033.47,723288.5564342065,361.462273333333
Senegal,SEN,16743930.0,24910904235.857,55256400492.9448,24798.863920099553,4.69621333333333
Seychelles,SYC,98462.0,1124937500.0,2398720801.35823,1256.8319289646743,0.433333333333333
Sierra Leone,SLE,7976985.0,3865018882.89755,13146496931.4186,7197.588039470805,0.274256
Singapore,SGP,5685807.0,339998477929.985,531037593858.902,62992.94773647025,51.1639999999999
Slovakia,SVK,5458827.0,104574146248.364,165566457022.858,47225.887632474514,29.892829294
Slovenia,SVN,2100126.0,52880473699.8803,76754856822.6768,20240.083739368234,15.5493711739999
Solomon Islands,SLB,686878.0,1551245525.6045,1705430098.51611,545.849633233005,0.108903
Somalia,SOM,15893219.0,4917607582.22895,13185196123.7764,29865.38860978403,0.3472
South Africa,ZAF,59308690.0,301923639269.552,680044688713.057,569156.3762879632,228.09297
Spain,ESP,47351567.0,1281199091016.35,1714858193027.47,346389.9433843502,278.380360374999
Sri Lanka,LKA,21919000.0,80706600228.6499,274797226353.498,42929.29517674415,15.8237866666666
Sudan,SDN,43849269.0,26110829190.4008,176399731919.213,136021.32778916298,16.92868
Suriname,SUR,586634.0,3807922874.48306,9462506620.87045,3063.187740031684,1.87096433333333
Sweden,SWE,10353442.0,537609865719.019,524746850325.099,63885.103203866034,144.394204532
Switzerland,CHE,8636896.0,747968636174.008,590705871052.249,46649.21722808043,61.991305
Syrian Arab Republic,SYR,17500657.0,,,40040.91055599704,16.6285133333333
Tajikistan,TJK,9537642.0,8194150301.78552,34884626700.0278,18853.37520613375,17.51289
"Tanzania, United Republic of",TZA,59734213.0,62409748426.5824,152786971515.46,78119.84616379651,7.17403333333333
Thailand,THA,69799978.0,501794961925.244,1206622908849.65,420390.7218872193,206.329659603999
Timor-Leste,TLS,1318442.0,1821000000.0,4194144875.897,5574.8754805350445,0.0
Togo,TGO,8278737.0,7574635241.30191,17450561476.2333,9524.52691516334,1.62932666666666
Tonga,TON,105697.0,512350059.421629,666495277.773404,234.65377849169778,0.057
Trinidad and Tobago,TTO,1399491.0,21529824769.2969,33207344471.517,48051.95696171327,8.33496666666666
Tunisia,TUN,11818618.0,39235672868.2722,114965656933.631,42882.3053329818,19.88562
Turkey,TUR,84339067.0,720101212394.114,2393963386561.78,579805.8988482871,289.864579
Turkmenistan,TKM,6031187.0,45231428571.4286,92330752073.9993,129946.7629758,17.9826466666666
